Year,Region,Total,Recycled,Incinerated,Landfilled,Mismanaged,Littered
2019,OECD Pacific - OECD Asia,12.25,1.463,8.777,1.732,0.254,0.025
2019,Total Non-OECD,181.156,17.913,17.966,75.46,69.09,0.727
2019,OECD America - Canada,6.632,0.429,0.273,5.455,0.462,0.013
2019,OECD Pacific - OECD Oceania,1.893,0.13,0.218,1.417,0.125,0.003
2019,Eurasia - Other Eurasia,16.645,0.793,0.171,9.07,6.562,0.049
2019,Middle East & Africa - Middle East & North Africa,16.917,0.922,0.103,9.16,6.675,0.058
2019,Other Asia - Other non-OECD Asia,25.462,2.283,1.116,10.609,11.335,0.119
2019,Total OECD,172.135,14.916,49.329,98.377,9.169,0.344
2019,Other OECD America,11.613,1.184,0.055,7.997,2.337,0.04
2019,OECD EU,50.671,7.193,22.35,18.814,2.221,0.092
2019,OECD Non-EU,16.235,1.247,3.759,9.876,1.321,0.031
2019,Eurasia - Other EU,2.433,0.147,0.064,1.958,0.257,0.007
2019,China,65.439,8.377,15.55,23.809,17.463,0.24
2019,India,18.518,2.469,0.771,6.721,8.458,0.101
2019,Middle East & Africa - Other Africa,16.249,0.929,0.082,4.902,10.252,0.084
2019,OECD America - United States,72.841,3.27,13.897,53.087,2.448,0.139
2019,Other America - Latin America,19.492,1.993,0.11,9.23,8.09,0.07
2019,Total World,353.291,32.829,67.295,173.837,78.259,1.07
